Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Barometerhoehe ueber NN [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
3730;Oberstdorf;10.28;47.41;808;811.4;19100101;19370114;Stationsbarometer;Luftdruckmessung, konv.;eor;
3730;Oberstdorf;10.28;47.4;810;819.4;19370115;19380405;Stationsbarometer;Luftdruckmessung, konv.;eor;
3730;Oberstdorf;10.28;47.4;810.57;811.45;19380406;19940716;Stationsbarometer;Luftdruckmessung, konv.;eor;
3730;Oberstdorf;10.28;47.4;806;811.5;19940717;20070605;Digitalbarometer AIR-DB;Luftdruckmessung, elektr.;eor;
3730;Oberstdorf;10.28;47.4;805.76;806.81;20070606;20121218;Digitalbarometer PTB 330 (ohne Anzeige, einfach);Luftdruckmessung, elektr.;eor;
3730;Oberstdorf;10.28;47.4;805.76;806.81;20121219;20140818;Luftdrucksensor Vaisala PTB 220;Luftdruckmessung, elektr.;eor;
3730;Oberstdorf;10.28;47.4;805.76;806.81;20140819;20150706;Digitalbarometer PTB 330 (ohne Anzeige, einfach);Luftdruckmessung, elektr.;eor;
3730;Oberstdorf;10.28;47.4;805.76;806.81;20150707;20181029;Luftdrucksensor Vaisala PTB 220;Luftdruckmessung, elektr.;eor;
3730;Oberstdorf;10.28;47.4;805.76;806.81;20181030;20240328;Digitalbarometer PTB 330 (ohne Anzeige, einfach);Luftdruckmessung, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
