Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3730;Oberstdorf;TMK;01.07.1919;31.07.1919;31;;eor;                                                                                                                                                      
3730;Oberstdorf;TMK;01.05.1945;31.07.1945;92;Kriegsjahre;eor;                                                                                                                                           
3730;Oberstdorf;TXK;01.07.1919;31.07.1919;31;;eor;                                                                                                                                                      
3730;Oberstdorf;TXK;01.05.1945;31.07.1945;92;Kriegsjahre;eor;                                                                                                                                           
3730;Oberstdorf;TNK;01.07.1919;31.07.1919;31;;eor;                                                                                                                                                      
3730;Oberstdorf;TNK;01.05.1945;31.07.1945;92;Kriegsjahre;eor;                                                                                                                                           
3730;Oberstdorf;TGK;11.06.1938;11.06.1938;1;;eor;                                                                                                                                                       
3730;Oberstdorf;TGK;04.12.1938;04.12.1938;1;;eor;                                                                                                                                                       
3730;Oberstdorf;TGK;22.12.1938;19.04.1939;119;;eor;                                                                                                                                                     
3730;Oberstdorf;TGK;01.05.1945;31.07.1945;92;Kriegsjahre;eor;                                                                                                                                           
3730;Oberstdorf;TGK;30.01.1997;30.01.1997;1;;eor;                                                                                                                                                       
3730;Oberstdorf;TGK;08.09.2005;12.09.2005;5;;eor;                                                                                                                                                       
3730;Oberstdorf;PM;01.07.1919;31.07.1919;31;;eor;                                                                                                                                                       
3730;Oberstdorf;PM;22.08.1925;31.08.1925;10;;eor;                                                                                                                                                       
3730;Oberstdorf;PM;01.05.1945;20.11.1945;204;Kriegsjahre;eor;                                                                                                                                           
3730;Oberstdorf;PM;28.07.2014;29.07.2014;2;;eor;                                                                                                                                                        
3730;Oberstdorf;PM;08.07.2017;10.07.2017;3;;eor;                                                                                                                                                        
3730;Oberstdorf;PM;16.09.2023;16.09.2023;1;;eor;                                                                                                                                                        
3730;Oberstdorf;PM;20.09.2023;20.09.2023;1;;eor;                                                                                                                                                        
3730;Oberstdorf;FM;19.05.1994;19.05.1994;1;;eor;                                                                                                                                                        
3730;Oberstdorf;FM;21.07.1994;21.07.1994;1;;eor;                                                                                                                                                        
3730;Oberstdorf;FM;12.10.1994;19.10.1994;8;;eor;                                                                                                                                                        
3730;Oberstdorf;FM;01.11.1994;23.11.1994;23;;eor;                                                                                                                                                       
