Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
856;Chieming;TMK;02.01.1998;05.01.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;08.01.1998;10.01.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;12.01.1998;12.01.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;17.01.1998;17.01.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;20.01.1998;26.01.1998;7;;eor;                                                                                                                                                          
856;Chieming;TMK;28.01.1998;04.02.1998;8;;eor;                                                                                                                                                          
856;Chieming;TMK;08.02.1998;08.02.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;10.02.1998;10.02.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;13.02.1998;18.02.1998;6;;eor;                                                                                                                                                          
856;Chieming;TMK;21.02.1998;21.02.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;23.02.1998;23.02.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;26.02.1998;26.02.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;02.03.1998;03.03.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;05.03.1998;07.03.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;09.03.1998;12.03.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;14.03.1998;14.03.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;16.03.1998;26.03.1998;11;;eor;                                                                                                                                                         
856;Chieming;TMK;29.03.1998;30.03.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;02.04.1998;04.04.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;06.04.1998;06.04.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;08.04.1998;08.04.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;10.04.1998;10.04.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;12.04.1998;15.04.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;17.04.1998;17.04.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;21.04.1998;24.04.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;27.04.1998;30.04.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;02.05.1998;02.05.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;04.05.1998;10.05.1998;7;;eor;                                                                                                                                                          
856;Chieming;TMK;13.05.1998;16.05.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;18.05.1998;27.05.1998;10;;eor;                                                                                                                                                         
856;Chieming;TMK;29.05.1998;01.06.1998;4;;eor;                                                                                                                                                          
856;Chieming;TMK;03.06.1998;03.06.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;06.06.1998;06.06.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;09.06.1998;10.06.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;12.06.1998;12.06.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;14.06.1998;15.06.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;17.06.1998;17.06.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;19.06.1998;20.06.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;22.06.1998;24.06.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;26.06.1998;26.06.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;30.06.1998;01.07.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;03.07.1998;04.07.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;06.07.1998;07.07.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;09.07.1998;16.07.1998;8;;eor;                                                                                                                                                          
856;Chieming;TMK;18.07.1998;18.07.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;22.07.1998;24.07.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;26.07.1998;26.07.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;29.07.1998;29.07.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;31.07.1998;31.07.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;02.08.1998;04.08.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;06.08.1998;07.08.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;10.08.1998;10.08.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;12.08.1998;12.08.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;14.08.1998;16.08.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;18.08.1998;18.08.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;21.08.1998;21.08.1998;1;;eor;                                                                                                                                                          
856;Chieming;TMK;23.08.1998;25.08.1998;3;;eor;                                                                                                                                                          
856;Chieming;TMK;28.08.1998;29.08.1998;2;;eor;                                                                                                                                                          
856;Chieming;TMK;31.08.1998;03.09.1998;4;;eor;                                                                                                                                                          
