Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1346;Feldberg/Schwarzwald;TMK;01.03.1945;31.03.1945;31;Kriegsjahre;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;TMK;11.04.1945;31.07.1945;112;Kriegsjahre;eor;                                                                                                                                
1346;Feldberg/Schwarzwald;TMK;01.10.1948;31.10.1948;31;;eor;                                                                                                                                            
1346;Feldberg/Schwarzwald;TMK;13.03.2021;16.03.2021;4;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;TXK;01.03.1945;31.03.1945;31;Kriegsjahre;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;TXK;11.04.1945;31.07.1945;112;Kriegsjahre;eor;                                                                                                                                
1346;Feldberg/Schwarzwald;TXK;01.10.1948;31.10.1948;31;;eor;                                                                                                                                            
1346;Feldberg/Schwarzwald;TXK;13.03.2021;16.03.2021;4;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;TNK;01.03.1945;31.03.1945;31;Kriegsjahre;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;TNK;11.04.1945;31.07.1945;112;Kriegsjahre;eor;                                                                                                                                
1346;Feldberg/Schwarzwald;TNK;01.10.1948;31.10.1948;31;;eor;                                                                                                                                            
1346;Feldberg/Schwarzwald;TNK;13.03.2021;16.03.2021;4;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;TGK;01.10.1948;31.10.1948;31;;eor;                                                                                                                                            
1346;Feldberg/Schwarzwald;TGK;29.07.1996;29.07.1996;1;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;TGK;13.03.2021;16.03.2021;4;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;PM;01.03.1945;31.03.1945;31;Kriegsjahre;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;PM;11.04.1945;31.07.1945;112;Kriegsjahre;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;PM;01.10.1948;31.10.1948;31;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;PM;23.02.2015;23.02.2015;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;PM;13.03.2021;17.03.2021;5;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;27.06.1986;27.06.1986;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;07.06.1989;07.06.1989;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;24.09.1989;24.09.1989;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;18.10.1990;18.10.1990;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;03.01.1991;16.01.1991;14;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;FM;11.09.1991;11.09.1991;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;16.09.1991;16.09.1991;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;15.11.1991;15.11.1991;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;31.12.1991;31.12.1991;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;10.01.1992;11.01.1992;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;31.01.1992;31.01.1992;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;16.02.1992;16.02.1992;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;31.03.1992;31.03.1992;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;16.05.1992;31.05.1992;16;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;FM;16.06.1992;16.06.1992;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;09.07.1992;09.07.1992;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;16.08.1992;17.08.1992;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;06.07.1993;15.07.1993;10;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;FM;02.02.2000;02.02.2000;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;29.07.2005;31.07.2005;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;05.11.2006;05.11.2006;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;05.01.2007;08.01.2007;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;11.12.2007;12.12.2007;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;25.07.2008;25.07.2008;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;12.01.2009;12.01.2009;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;24.04.2012;25.04.2012;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;16.05.2012;16.05.2012;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;02.12.2012;12.12.2012;11;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;FM;26.01.2014;28.01.2014;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;14.02.2014;17.02.2014;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;20.11.2014;20.11.2014;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;12.12.2014;12.12.2014;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;23.12.2014;23.12.2014;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;28.12.2014;29.12.2014;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;09.01.2015;09.01.2015;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;14.01.2015;15.01.2015;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;29.01.2015;02.02.2015;5;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;06.02.2015;09.02.2015;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;23.02.2015;23.02.2015;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;25.02.2015;27.02.2015;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;10.11.2016;10.11.2016;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;03.01.2017;04.01.2017;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;09.01.2017;11.01.2017;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;14.01.2017;16.01.2017;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;26.02.2019;26.02.2019;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;05.08.2019;06.08.2019;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;10.12.2019;10.12.2019;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;05.10.2020;07.10.2020;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FM;13.03.2021;17.03.2021;5;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;20.02.1955;23.02.1955;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;10.02.1956;11.02.1956;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;15.02.1956;17.02.1956;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;04.03.1956;05.03.1956;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;06.10.1956;08.10.1956;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;27.10.1956;31.10.1956;5;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;04.11.1956;05.11.1956;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;26.11.1956;30.11.1956;5;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;17.01.1957;18.01.1957;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;23.01.1958;24.01.1958;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;10.03.1958;10.03.1958;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;31.08.1959;31.08.1959;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;10.12.1959;04.01.1960;26;;eor;                                                                                                                                             
1346;Feldberg/Schwarzwald;FX;11.03.1960;11.03.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;18.03.1960;18.03.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;22.03.1960;27.03.1960;6;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;29.03.1960;29.03.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;31.03.1960;01.04.1960;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;05.04.1960;05.04.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;02.05.1960;03.05.1960;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;11.05.1960;11.05.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;23.05.1960;23.05.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;27.05.1960;27.05.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;30.05.1960;30.05.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;07.06.1960;07.06.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;15.06.1960;18.06.1960;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;21.06.1960;22.06.1960;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;30.06.1960;02.07.1960;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;16.07.1960;16.07.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;25.07.1960;25.07.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;03.08.1960;03.08.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;08.08.1960;08.08.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;10.09.1960;10.09.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;12.09.1960;13.09.1960;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;26.09.1960;29.09.1960;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;07.11.1960;08.11.1960;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;23.12.1960;23.12.1960;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;01.01.1961;01.01.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;17.01.1961;18.01.1961;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;14.02.1961;15.02.1961;2;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;18.02.1961;18.02.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;09.03.1961;09.03.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;23.03.1961;25.03.1961;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;09.04.1961;09.04.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;12.04.1961;12.04.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;19.04.1961;19.04.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;21.04.1961;21.04.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;24.05.1961;24.05.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;28.05.1961;28.05.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;04.06.1961;06.06.1961;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;15.06.1961;15.06.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;17.06.1961;20.06.1961;4;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;24.06.1961;24.06.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;30.06.1961;02.07.1961;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;19.07.1961;21.07.1961;3;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;24.07.1961;24.07.1961;1;;eor;                                                                                                                                              
1346;Feldberg/Schwarzwald;FX;31.07.1961;31.07.1961;1;;eor;                                                                                                                                              
