Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3987;Potsdam;TGK;01.01.1981;31.12.1990;3652;;eor;                                                                                                                                                       
3987;Potsdam;FM;01.11.1918;30.11.1918;30;;eor;                                                                                                                                                          
3987;Potsdam;FM;01.01.1919;31.12.1923;1826;;eor;                                                                                                                                                        
3987;Potsdam;FM;01.08.1992;15.08.1992;15;;eor;                                                                                                                                                          
3987;Potsdam;FM;26.08.1992;06.09.1992;12;;eor;                                                                                                                                                          
3987;Potsdam;FM;18.11.1992;20.11.1992;3;;eor;                                                                                                                                                           
3987;Potsdam;FM;16.12.1992;21.12.1992;6;;eor;                                                                                                                                                           
3987;Potsdam;FM;02.01.1993;02.01.1993;1;;eor;                                                                                                                                                           
3987;Potsdam;FM;11.02.1993;11.02.1993;1;;eor;                                                                                                                                                           
3987;Potsdam;FM;01.02.2002;01.02.2002;1;;eor;                                                                                                                                                           
3987;Potsdam;FM;16.07.2003;16.07.2003;1;;eor;                                                                                                                                                           
3987;Potsdam;FM;17.03.2004;17.03.2004;1;;eor;                                                                                                                                                           
3987;Potsdam;FM;22.06.2009;22.06.2009;1;;eor;                                                                                                                                                           
3987;Potsdam;FM;04.07.2023;06.07.2023;3;;eor;                                                                                                                                                           
3987;Potsdam;FX;03.01.1967;10.01.1967;8;;eor;                                                                                                                                                           
3987;Potsdam;FX;15.01.1967;20.01.1967;6;;eor;                                                                                                                                                           
3987;Potsdam;FX;22.01.1967;23.01.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;25.01.1967;25.01.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;09.02.1967;12.02.1967;4;;eor;                                                                                                                                                           
3987;Potsdam;FX;18.02.1967;18.02.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;26.02.1967;26.02.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;06.03.1967;06.03.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;09.03.1967;09.03.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;31.03.1967;31.03.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;02.04.1967;02.04.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;08.04.1967;08.04.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;13.04.1967;15.04.1967;3;;eor;                                                                                                                                                           
3987;Potsdam;FX;23.04.1967;23.04.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;27.04.1967;28.04.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;02.05.1967;04.05.1967;3;;eor;                                                                                                                                                           
3987;Potsdam;FX;08.05.1967;10.05.1967;3;;eor;                                                                                                                                                           
3987;Potsdam;FX;17.05.1967;17.05.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;21.05.1967;22.05.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;27.05.1967;27.05.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;31.05.1967;01.06.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;03.06.1967;04.06.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;06.06.1967;06.06.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;08.06.1967;09.06.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;13.06.1967;14.06.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;16.06.1967;17.06.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;19.06.1967;19.06.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;23.06.1967;23.06.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;25.06.1967;25.06.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;27.06.1967;27.06.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;29.06.1967;29.06.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;01.07.1967;01.08.1967;32;;eor;                                                                                                                                                          
3987;Potsdam;FX;03.08.1967;31.08.1967;29;;eor;                                                                                                                                                          
3987;Potsdam;FX;04.09.1967;04.09.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;07.09.1967;13.09.1967;7;;eor;                                                                                                                                                           
3987;Potsdam;FX;15.09.1967;19.09.1967;5;;eor;                                                                                                                                                           
3987;Potsdam;FX;24.09.1967;29.09.1967;6;;eor;                                                                                                                                                           
3987;Potsdam;FX;01.10.1967;01.10.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;03.10.1967;03.10.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;11.10.1967;12.10.1967;2;;eor;                                                                                                                                                           
3987;Potsdam;FX;14.10.1967;14.10.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;23.10.1967;25.10.1967;3;;eor;                                                                                                                                                           
3987;Potsdam;FX;27.10.1967;27.10.1967;1;;eor;                                                                                                                                                           
3987;Potsdam;FX;04.11.1967;04.11.1967;1;;eor;                                                                                                                                                           
